name,description,No.,the_geom,CODIGO,LATITUD,LONGITUD,ESTADO,unnamed (1),unnamed (2)
CALLE 76 CON CARRERA 51B BARRANQUILLA,No.: 240<br>CODIGO: 1248<br>LATITUD: 11.0017048<br>LONGITUD: -74.8072116<br>ESTADO: Funcionando<br>unnamed (1): <br>unnamed (2):,240,POINT (-74.8072116 11.0017048),1248,11.0017048,-74.8072116,Funcionando,,
CALLE 76 CON CARRERA 52 BARRANQUILLA,No.: 241<br>CODIGO: 1253<br>LATITUD: 11.0021807<br>LONGITUD: -74.8065252<br>ESTADO: Funcionando<br>unnamed (1): <br>unnamed (2):,241,POINT (-74.8065252 11.0021807),1253,11.0021807,-74.8065252,Funcionando,,
CALLE 76 CON CARRERA 53 BARRANQUILLA,No.: 242<br>CODIGO: 1253<br>LATITUD: 11.0027291<br>LONGITUD: -74.8057707<br>ESTADO: Funcionando<br>unnamed (1): <br>unnamed (2):,242,POINT (-74.8057707 11.0027291),1253,11.0027291,-74.8057707,Funcionando,,
CALLE 76 CON CARRERA 54 BARRANQUILLA,No.: 243<br>CODIGO: 1253<br>LATITUD: 11.0032494<br>LONGITUD: -74.8050667<br>ESTADO: Funcionando<br>unnamed (1): <br>unnamed (2):,243,POINT (-74.8050667 11.0032494),1253,11.0032494,-74.8050667,Funcionando,,
CALLE 76 CON CARRERA 56 BARRANQUILLA,No.: 244<br>CODIGO: 7656<br>LATITUD: 11.0045029<br>LONGITUD: -74.8033079<br>ESTADO: Funcionando<br>unnamed (1): <br>unnamed (2):,244,POINT (-74.8033079 11.0045029),7656,11.0045029,-74.8033079,Funcionando,,
CALLE 76 CON CARRERA 57 BARRANQUILLA,No.: 245<br>CODIGO: 7656<br>LATITUD: 11.005061<br>LONGITUD: -74.802571<br>ESTADO: Funcionando<br>unnamed (1): <br>unnamed (2):,245,POINT (-74.802571 11.005061),7656,11.005061,-74.802571,Funcionando,,
CALLE 76 CON CARRERA 58 BARRANQUILLA,No.: 246<br>CODIGO: 1246<br>LATITUD: 11.0057036<br>LONGITUD: -74.801706<br>ESTADO: Funcionando<br>unnamed (1): <br>unnamed (2):,246,POINT (-74.801706 11.0057036),1246,11.0057036,-74.801706,Funcionando,,
CALLE 76 CON CARRERA 59 BARRANQUILLA,No.: 247<br>CODIGO: 7660<br>LATITUD: 11.0062431<br>LONGITUD: -74.8009011<br>ESTADO: Funcionando<br>unnamed (1): <br>unnamed (2):,247,POINT (-74.8009011 11.0062431),7660,11.0062431,-74.8009011,Funcionando,,
CALLE 76 CON CARRERA 6 BARRANQUILLA,No.: 248<br>CODIGO: 2006<br>LATITUD: 10.9456934<br>LONGITUD: -74.8216827<br>ESTADO: Funcionando<br>unnamed (1): <br>unnamed (2):,248,POINT (-74.8216827 10.9456934),2006,10.9456934,-74.8216827,Funcionando,,
CALLE 76 CON CARRERA 60 BARRANQUILLA,No.: 249<br>CODIGO: 7660<br>LATITUD: 11.0067707<br>LONGITUD: -74.8001673<br>ESTADO: Funcionando<br>unnamed (1): <br>unnamed (2):,249,POINT (-74.8001673 11.0067707),7660,11.0067707,-74.8001673,Funcionando,,
CALLE 76B CON CARRERA 42F BARRANQUILLA,No.: 250<br>CODIGO: 2351<br>LATITUD: 10.9937509<br>LONGITUD: -74.8137955<br>ESTADO: Funcionando<br>unnamed (1): <br>unnamed (2):,250,POINT (-74.8137955 10.9937509),2351,10.9937509,-74.8137955,Funcionando,,
CALLE 77 CON CARRERA 59 BARRANQUILLA,No.: 251<br>CODIGO: 7759<br>LATITUD: 11.0068867<br>LONGITUD: -74.8016404<br>ESTADO: Funcionando<br>unnamed (1): <br>unnamed (2):,251,POINT (-74.8016404 11.0068867),7759,11.0068867,-74.8016404,Funcionando,,
CALLE 77 CON CARRERA 60 BARRANQUILLA,No.: 252<br>CODIGO: 1244<br>LATITUD: 11.0081521<br>LONGITUD: -74.8011879<br>ESTADO: Funcionando<br>unnamed (1): <br>unnamed (2):,252,POINT (-74.8011879 11.0081521),1244,11.0081521,-74.8011879,Funcionando,,
CALLE 79 CON CARRERA 43 BARRANQUILLA,No.: 254<br>CODIGO: 1353<br>LATITUD: 10.9953249<br>LONGITUD: -74.8136578<br>ESTADO: Funcionando<br>unnamed (1): <br>unnamed (2):,254,POINT (-74.8136578 10.9953249),1353,10.9953249,-74.8136578,Funcionando,,
CALLE 79 CON CARRERA 44 BARRANQUILLA,No.: 255<br>CODIGO: 1353<br>LATITUD: 10.9964759<br>LONGITUD: -74.8129678<br>ESTADO: Funcionando<br>unnamed (1): <br>unnamed (2):,255,POINT (-74.8129678 10.9964759),1353,10.9964759,-74.8129678,Funcionando,,
CALLE 79 CON CARRERA 46 BARRANQUILLA,No.: 256<br>CODIGO: 1355<br>LATITUD: 10.997987<br>LONGITUD: -74.8120945<br>ESTADO: Funcionando<br>unnamed (1): <br>unnamed (2):,256,POINT (-74.8120945 10.997987),1355,10.997987,-74.8120945,Funcionando,,
CALLE 79 CON CARRERA 47 BARRANQUILLA,No.: 257<br>CODIGO: 1355<br>LATITUD: 10.9986453<br>LONGITUD: -74.8117193<br>ESTADO: Funcionando<br>unnamed (1): <br>unnamed (2):,257,POINT (-74.8117193 10.9986453),1355,10.9986453,-74.8117193,Funcionando,,
CALLE 79 CON CARRERA 49C BARRANQUILLA,No.: 258<br>CODIGO: 1235<br>LATITUD: 11.0000584<br>LONGITUD: -74.8110692<br>ESTADO: Funcionando<br>unnamed (1): <br>unnamed (2):,258,POINT (-74.8110692 11.0000584),1235,11.0000584,-74.8110692,Funcionando,,
CALLE 79 CON CARRERA 50 BARRANQUILLA,No.: 259<br>CODIGO: 1235<br>LATITUD: 11.0009055<br>LONGITUD: -74.8104505<br>ESTADO: Funcionando<br>unnamed (1): <br>unnamed (2):,259,POINT (-74.8104505 11.0009055),1235,11.0009055,-74.8104505,Funcionando,,
CALLE 79 CON CARRERA 51 BARRANQUILLA,No.: 260<br>CODIGO: 1236<br>LATITUD: 11.0018231<br>LONGITUD: -74.8097543<br>ESTADO: Funcionando<br>unnamed (1): <br>unnamed (2):,260,POINT (-74.8097543 11.0018231),1236,11.0018231,-74.8097543,Funcionando,,
CALLE 79 CON CARRERA 51B BARRANQUILLA,No.: 261<br>CODIGO: 1236<br>LATITUD: 11.0026222<br>LONGITUD: -74.8091471<br>ESTADO: Funcionando<br>unnamed (1): <br>unnamed (2):,261,POINT (-74.8091471 11.0026222),1236,11.0026222,-74.8091471,Funcionando,,
CALLE 79 CON CARRERA 52 BARRANQUILLA,No.: 262<br>CODIGO: 1234<br>LATITUD: 11.003424<br>LONGITUD: -74.8085522<br>ESTADO: Funcionando<br>unnamed (1): <br>unnamed (2):,262,POINT (-74.8085522 11.003424),1234,11.003424,-74.8085522,Funcionando,,
CALLE 79 CON CARRERA 53 BARRANQUILLA,No.: 263<br>CODIGO: 1234<br>LATITUD: 11.004304<br>LONGITUD: -74.8081282<br>ESTADO: Funcionando<br>unnamed (1): <br>unnamed (2):,263,POINT (-74.8081282 11.004304),1234,11.004304,-74.8081282,Funcionando,,
CALLE 79 CON CARRERA 59B BARRANQUILLA,No.: 264<br>CODIGO: 1232<br>LATITUD: 11.008813<br>LONGITUD: -74.8050155<br>ESTADO: Funcionando<br>unnamed (1): <br>unnamed (2):,264,POINT (-74.8050155 11.008813),1232,11.008813,-74.8050155,Funcionando,,
CALLE 79 CON CARRERA 60 BARRANQUILLA,No.: 265<br>CODIGO: 1232<br>LATITUD: 11.0092328<br>LONGITUD: -74.8046574<br>ESTADO: Funcionando<br>unnamed (1): <br>unnamed (2):,265,POINT (-74.8046574 11.0092328),1232,11.0092328,-74.8046574,Funcionando,,
